obs_p,obs_q,obs_teta,obs_DateTime
0.0,2.508,0.31700000000000006,
0.0,2.435,0.31700000000000006,
0.0,2.38,0.31700000000000006,
0.0,2.362,0.31700000000000006,
0.0,2.362,0.31700000000000006,
0.0,2.325,0.31700000000000006,
0.0,2.325,0.31700000000000006,
0.0,2.307,0.31700000000000006,
0.0,2.289,0.3166666666666667,
0.0,2.271,0.31599999999999995,
0.0,2.271,0.31599999999999995,
0.0,2.253,0.31599999999999995,
0.0,2.235,0.31599999999999995,
0.0,2.253,0.31599999999999995,
0.0,2.235,0.31599999999999995,
0.0,2.235,0.31599999999999995,
0.0,2.235,0.31599999999999995,
0.0,2.235,0.31599999999999995,
0.0,2.253,0.31599999999999995,
0.0,2.253,0.31599999999999995,
0.0,2.217,0.31599999999999995,
0.0,2.235,0.31599999999999995,
0.0,2.217,0.31599999999999995,
0.0,2.199,0.31599999999999995,
0.0,2.217,0.31599999999999995,
0.0,2.199,0.3159166666666666,
0.0,2.163,0.3153333333333333,
0.0,2.163,0.3150833333333333,
0.0,2.145,0.315,
0.0,2.145,0.315,
0.0,2.127,0.315,
0.0,2.092,0.315,
0.0,2.109,0.315,
0.0,2.109,0.315,
0.0,2.109,0.315,
0.0,2.092,0.315,
0.0,2.074,0.315,
0.0,2.074,0.315,
0.0,2.074,0.315,
0.0,2.056,0.315,
0.0,2.056,0.315,
0.0,2.074,0.315,
0.0,2.074,0.315,
0.0,2.092,0.3149166666666667,
0.0,2.074,0.3145,
0.0,2.056,0.3141666666666667,
0.0,2.074,0.3140833333333333,
0.0,2.074,0.314,
0.0,2.056,0.314,
0.0,2.092,0.314,
0.0,2.074,0.314,
0.0,2.056,0.314,
0.0,2.056,0.314,
0.0,2.109,0.314,
0.0,2.092,0.314,
0.0,2.038,0.314,
0.0,2.021,0.314,
0.0,2.021,0.31383333333333335,
0.0,2.092,0.31341666666666673,
0.0,2.092,0.31341666666666673,
0.0,2.038,0.3132500000000001,
0.0,2.021,0.31300000000000006,
0.0,2.003,0.31300000000000006,
0.0,2.003,0.31300000000000006,
0.0,2.003,0.31300000000000006,
0.0,2.003,0.31300000000000006,
0.0,2.021,0.31300000000000006,
0.0,2.038,0.31300000000000006,
0.0,2.092,0.31300000000000006,
0.0,2.092,0.31300000000000006,
0.0,2.074,0.31300000000000006,
0.0,2.038,0.31300000000000006,
0.0,2.021,0.31300000000000006,
0.0,2.021,0.31300000000000006,
0.0,2.021,0.31300000000000006,
0.0,2.021,0.3129166666666667,
0.0,2.021,0.31216666666666665,
0.0,2.021,0.31199999999999994,
0.0,2.021,0.31199999999999994,
0.0,2.003,0.31199999999999994,
0.0,2.003,0.31199999999999994,
0.0,2.003,0.31199999999999994,
0.0,2.003,0.31199999999999994,
0.00030000000000000003,1.985,0.31199999999999994,
0.0007,2.003,0.31199999999999994,
0.0001,2.038,0.31199999999999994,
0.0003,2.145,0.31199999999999994,
0.00030000000000000003,2.199,0.31199999999999994,
0.0,2.199,0.31199999999999994,
0.004,2.362,0.3123333333333334,
0.0035,2.656,0.3138333333333333,
0.0017,3.07,0.32033333333333336,
0.0014000000000000002,3.3,0.3365000000000001,
0.0,3.553,0.3394166666666667,
0.0,3.691,0.33775000000000005,
0.0,3.75,0.33549999999999996,
0.0,3.789,0.33375000000000005,
0.003,4.128,0.33241666666666664,
0.0001,3.948,0.33116666666666666,
0.0,4.048,0.33025000000000004,
0.0,3.928,0.32950000000000007,
0.0,3.988,0.3289166666666667,
0.0,3.829,0.32799999999999996,
0.0,3.671,0.3273333333333333,
0.0,3.514,0.327,
0.0001,3.397,0.32658333333333334,
0.0006000000000000001,3.262,0.326,
0.0,3.185,0.3259166666666667,
0.0,3.089,0.3250833333333334,
0.0001,3.013,0.32500000000000007,
0.0,2.975,0.3246666666666666,
0.0,2.918,0.3241666666666666,
0.0,2.88,0.32399999999999995,
0.0,2.843,0.32399999999999995,
0.0,2.749,0.32366666666666666,
0.0,3.223,0.323,
0.0,2.824,0.323,
0.0,2.749,0.32283333333333336,
0.0,2.749,0.322,
0.0,2.805,0.322,
0.0002,2.73,0.322,
0.0001,2.674,0.3215833333333334,
0.0002,2.637,0.32100000000000006,
0.0,2.637,0.32100000000000006,
0.0,2.619,0.32100000000000006,
0.0,2.508,0.32100000000000006,
0.0,2.508,0.32100000000000006,
0.0,2.526,0.3201666666666666,
0.0,2.508,0.31999999999999995,
0.0004,2.526,0.32083333333333336,
0.0055,2.824,0.3225,
0.0006000000000000001,2.768,0.32508333333333334,
0.0018000000000000002,2.975,0.3303333333333333,
0.0,3.147,0.331,
0.0,3.243,0.3306666666666667,
0.0,3.339,0.33,
0.0001,3.339,0.3296666666666667,
0.0,3.339,0.32900000000000007,
0.0,3.339,0.32883333333333337,
0.0,3.456,0.32799999999999996,
0.0,3.456,0.32791666666666663,
0.0,3.358,0.32708333333333334,
0.0,3.3,0.327,
0.0,3.223,0.32633333333333336,
0.0,3.127,0.326,
0.0,3.032,0.32541666666666674,
0.0,2.975,0.32500000000000007,
0.0,2.918,0.32475000000000004,
0.0,2.843,0.32399999999999995,
0.0,2.805,0.32399999999999995,
0.0,2.749,0.32391666666666663,
0.0,2.619,0.32325,
0.0,2.637,0.323,
0.0,2.619,0.323,
0.0,2.6,0.323,
0.0,2.563,0.32283333333333336,
0.0,2.526,0.3220833333333334,
0.0,2.508,0.322,
0.0,2.49,0.322,
0.0,3.127,0.322,
0.0,2.453,0.322,
0.0,2.453,0.322,
0.0,2.453,0.32141666666666674,
0.0,2.435,0.32100000000000006,
0.0,2.398,0.32100000000000006,
0.0,2.398,0.32100000000000006,
0.0,2.416,0.32100000000000006,
0.0,2.398,0.3201666666666666,
0.0,2.435,0.31999999999999995,
0.0,2.435,0.31999999999999995,
0.0,2.362,0.31999999999999995,
0.0,2.344,0.31999999999999995,
0.0,2.271,0.3199166666666666,
0.0,2.271,0.3193333333333333,
0.0,2.271,0.319,
0.0,2.253,0.319,
0.0,2.253,0.319,
0.0,2.253,0.319,
0.0,2.235,0.319,
0.0,2.235,0.319,
0.0,2.235,0.319,
0.0,2.235,0.319,
0.0002,2.235,0.319,
0.0,2.235,0.31858333333333333,
0.0,2.217,0.3184166666666667,
0.0,2.217,0.3184166666666667,
0.0,2.217,0.31833333333333336,
0.0,2.235,0.3180833333333334,
0.0,2.217,0.318,
0.0016,2.253,0.318,
0.0,2.344,0.318,
0.00030000000000000003,2.435,0.318,
0.0,2.508,0.31783333333333336,
0.0003,2.471,0.3173333333333334,
0.0,2.38,0.31700000000000006,
0.0,2.38,0.31700000000000006,
0.0,2.362,0.31700000000000006,
0.0,2.362,0.31700000000000006,
0.0,2.362,0.31700000000000006,
0.0,2.38,0.31700000000000006,
0.0,2.344,0.3169166666666667,
0.0,2.235,0.31658333333333327,
0.0015,2.307,0.31608333333333327,
0.0013,2.325,0.31725,
0.0013,2.416,0.3202500000000001,
0.0005,2.6,0.32208333333333333,
0.0001,2.637,0.32341666666666663,
0.0,2.619,0.32533333333333336,
0.0,2.637,0.326,
0.0,2.768,0.3259166666666667,
0.0,2.843,0.32541666666666674,
0.00030000000000000003,2.88,0.32500000000000007,
0.0011,2.937,0.32500000000000007,
0.0011,3.051,0.3255833333333334,
0.0,3.089,0.326,
0.0,2.994,0.326,
0.0,2.956,0.326,
0.0,2.899,0.32583333333333336,
0.0,2.88,0.32500000000000007,
0.0,2.862,0.32500000000000007,
0.0,2.843,0.32500000000000007,
0.0,2.862,0.3241666666666666,
0.0,2.918,0.32399999999999995,
0.0,2.937,0.32399999999999995,
0.0,2.88,0.32399999999999995,
0.0,2.843,0.32341666666666663,
0.0001,2.805,0.323,
0.0004,2.73,0.323,
0.0006000000000000001,2.693,0.323,
0.0008999999999999999,2.693,0.32349999999999995,
0.0001,2.712,0.3243333333333334,
0.0001,2.749,0.32500000000000007,
0.0001,2.73,0.32500000000000007,
0.0,2.712,0.32500000000000007,
0.0,2.712,0.3250833333333334,
0.0001,2.787,0.32500000000000007,
0.0,2.768,0.32500000000000007,
0.0,2.693,0.3252500000000001,
0.0,2.787,0.326,
0.0,2.843,0.32575000000000004,
0.0,2.787,0.32500000000000007,
0.0,2.843,0.32500000000000007,
0.0,2.843,0.32500000000000007,
0.0017000000000000001,2.843,0.32500000000000007,
0.0,2.805,0.32500000000000007,
0.0,2.805,0.32449999999999996,
0.0,2.787,0.32399999999999995,
0.0,2.768,0.32399999999999995,
0.0,2.73,0.32399999999999995,
0.0,2.693,0.32399999999999995,
0.0,2.693,0.32399999999999995,
0.0,2.656,0.3236666666666666,
0.0,2.637,0.32308333333333333,
0.0,2.73,0.323,
0.0,2.88,0.323,
0.0,2.862,0.323,
0.0,2.712,0.323,
0.0,2.805,0.323,
0.0,2.712,0.3225833333333334,
0.0,2.563,0.322,
0.0,2.49,0.322,
0.0,2.49,0.322,
0.0,2.49,0.322,
0.0,2.471,0.32116666666666677,
0.0,2.453,0.32100000000000006,
0.0,2.435,0.32100000000000006,
0.0,2.435,0.32100000000000006,
0.0,2.416,0.3200833333333333,
0.0,2.398,0.31999999999999995,
0.0,2.398,0.31999999999999995,
0.0,2.38,0.31999999999999995,
0.0,2.344,0.31999999999999995,
0.0,2.362,0.31999999999999995,
0.0,2.362,0.31999999999999995,
0.0,2.344,0.31999999999999995,
0.0001,2.344,0.3199166666666666,
0.0,2.325,0.3193333333333333,
0.0006,2.325,0.31916666666666665,
0.0,2.325,0.3196666666666666,
0.0,2.362,0.31999999999999995,
0.00030000000000000003,2.38,0.31999999999999995,
0.0011,2.416,0.3206666666666667,
0.0,2.471,0.3215,
0.00030000000000000003,2.582,0.322,
0.0,2.6,0.32249999999999995,
0.0,2.6,0.323,
0.0,2.582,0.32275000000000004,
0.0,2.656,0.32233333333333336,
0.0,2.656,0.322,
0.0,2.619,0.322,
0.0,2.582,0.322,
0.0,2.563,0.322,
0.0,2.545,0.3219166666666667,
0.0,2.508,0.32116666666666677,
0.0,2.471,0.32100000000000006,
0.0,2.453,0.32100000000000006,
0.0,2.435,0.32100000000000006,
0.0,2.416,0.32100000000000006,
0.0,2.416,0.32100000000000006,
0.0,2.398,0.32100000000000006,
0.00030000000000000003,2.38,0.32100000000000006,
0.0001,2.362,0.32100000000000006,
0.0,2.362,0.32083333333333336,
0.0014000000000000002,2.38,0.321,
0.0013,2.471,0.3279166666666667,
0.0008,2.6,0.33349999999999996,
0.00030000000000000003,2.787,0.33641666666666675,
0.00030000000000000003,2.899,0.33700000000000013,
0.0006,3.013,0.33616666666666667,
0.001,3.262,0.3368333333333334,
0.0008,3.632,0.3374166666666667,
0.0002,4.048,0.3388333333333333,
0.0001,4.513,0.339,
0.0,4.677,0.339,
0.0,4.842,0.338,
0.0,4.863,0.3376666666666667,
0.0,4.904,0.33700000000000013,
0.0,4.863,0.3359999999999999,
0.0,4.967,0.3353333333333333,
0.0,4.863,0.3349166666666667,
0.0,4.677,0.334,
0.0,4.513,0.3336666666666667,
0.0,4.351,0.3330000000000001,
0.0,4.189,0.3329166666666667,
0.0007,4.068,0.33199999999999996,
0.0002,3.968,0.33199999999999996,
0.0008,3.908,0.33199999999999996,
0.0,3.829,0.3325833333333334,
0.0001,3.849,0.3330000000000001,
0.0009000000000000001,3.849,0.3330000000000001,
0.002,4.575,0.33625,
0.0016,4.249,0.3421666666666667,
0.0024,4.739,0.34883333333333333,
0.0006,5.259,0.3518333333333332,
0.0001,6.153,0.35074999999999995,
0.0,7.049,0.3486666666666666,
0.0,8.261,0.34650000000000003,
0.0,9.087,0.3447499999999999,
0.0,9.95,0.34325,
0.0,9.95,0.34175000000000005,
0.0,9.669,0.34075000000000005,
0.0,9.133,0.33975,
0.0,8.558,0.339,
0.0,7.898,0.338,
0.0,7.271,0.33725000000000005,
0.0,6.807,0.3368333333333334,
0.0,6.413,0.3359999999999999,
0.0,6.089,0.33558333333333334,
0.0,5.788,0.335,
0.0,5.576,0.33441666666666664,
0.0,5.343,0.334,
0.0,5.196,0.3336666666666667,
0.0,5.029,0.3330000000000001,
0.0,4.884,0.3330000000000001,
0.0,4.78,0.33225,
0.0,4.78,0.33199999999999996,
0.0,4.595,0.33141666666666664,
0.0,4.513,0.331,
0.0,4.432,0.33025000000000004,
0.0,4.371,0.33,
0.0,4.169,0.3291666666666668,
0.0,4.189,0.32900000000000007,
0.0,4.108,0.32875,
0.0,4.048,0.32799999999999996,
0.0,3.968,0.32799999999999996,
0.0,3.908,0.32799999999999996,
0.0,3.829,0.3273333333333333,
0.0,3.789,0.327,
0.0,3.75,0.327,
0.0,3.691,0.327,
0.0,3.671,0.3269166666666667,
0.0,3.612,0.3260833333333334,
0.0,3.573,0.326,
0.0,3.573,0.326,
0.0,3.534,0.326,
0.0,3.514,0.326,
0.0,3.514,0.3253333333333334,
0.0,3.475,0.32500000000000007,
0.0,3.495,0.32500000000000007,
0.0,3.495,0.32500000000000007,
0.0001,3.495,0.32466666666666666,
0.0,3.397,0.32399999999999995,
0.0006,3.417,0.32399999999999995,
0.0011,3.475,0.32399999999999995,
0.0017999999999999997,3.534,0.3246666666666667,
0.0004,3.691,0.3329166666666667,
0.0007,3.948,0.33725000000000005,
0.00030000000000000003,4.008,0.3402500000000001,
0.002,4.29,0.3403333333333333,
0.0026,4.657,0.3491666666666666,
0.0023,5.406,0.3549166666666667,
0.0012999999999999997,6.566,0.355,
0.0025,7.921,0.35966666666666663,
0.0021000000000000003,10.186,0.36533333333333334,
0.0015,12.545,0.3650833333333334,
0.0013,15.316,0.3645,
0.0023,18.18,0.36475000000000013,
0.0026999999999999997,20.965,0.3645,
0.0022,24.039,0.36566666666666675,
0.0014,27.184,0.3660833333333333,
0.0008,29.166,0.36533333333333345,
0.0005,30.77,0.36349999999999993,
0.0001,31.461,0.3595833333333333,
0.0,31.606,0.3564166666666666,
0.0,31.577,0.3534999999999999,
0.0,31.346,0.35108333333333336,
0.0,30.425,0.34908333333333336,
0.0,29.109,0.34741666666666665,
0.0,26.819,0.34575,
0.0,24.094,0.3446666666666666,
0.0,21.45,0.34341666666666665,
0.0002,19.285,0.3425,
0.0006000000000000001,17.683,0.3415833333333334,
0.0006,16.595,0.3408333333333334,
0.0001,15.928,0.3399999999999999,
0.0001,15.519,0.3399999999999999,
0.0,15.443,0.3399999999999999,
0.0,15.189,0.3399999999999999,
0.0,15.316,0.33983333333333327,
0.0,15.265,0.33908333333333335,
0.0001,15.012,0.339,
0.0006000000000000001,14.961,0.339,
0.0006,14.835,0.339,
0.0,14.86,0.3389166666666667,
0.0,14.457,0.33808333333333335,
0.0,14.557,0.338,
0.0,14.306,0.338,
0.0,14.056,0.3370833333333334,
0.0,13.706,0.33700000000000013,
0.0001,13.309,0.33700000000000013,
0.0,13.16,0.3359999999999999,
0.0,12.889,0.3359999999999999,
0.0,12.545,0.33558333333333334,
0.0,12.447,0.335,
0.0004,12.203,0.335,
0.0,12.008,0.33408333333333334,
0.0002,11.741,0.334,
0.0013,11.547,0.334,
0.001,11.571,0.33558333333333334,
0.0021000000000000003,11.838,0.34066666666666673,
0.0004,12.178,0.343,
0.0,12.643,0.3423333333333334,
0.0,13.16,0.34166666666666673,
0.0,13.656,0.3408333333333334,
0.0,14.056,0.3399999999999999,
0.0,13.781,0.33925,
0.0,13.458,0.3389166666666667,
0.0,13.061,0.338,
0.0,12.692,0.3375000000000001,
0.0,12.3,0.33700000000000013,
0.0,11.911,0.33649999999999997,
0.0,11.644,0.3359999999999999,
0.0,11.378,0.33549999999999996,
0.0,10.994,0.335,
0.0,10.708,0.33433333333333337,
0.0,10.541,0.334,
0.0,10.351,0.3335000000000001,
0.0,10.162,0.3330000000000001,
0.0,9.997,0.3326666666666666,
0.0,9.786,0.33199999999999996,
0.0,9.622,0.33199999999999996,
0.0,9.412,0.3318333333333333,
0.0,9.319,0.331,
0.0,9.156,0.331,
0.0,8.971,0.331,
0.0,8.856,0.331,
0.0,8.695,0.3305,
0.0,8.58,0.33,
0.0007000000000000001,8.558,0.33,
0.0001,8.466,0.33,
0.001,8.398,0.33,
0.0001,8.535,0.33,
0.0,8.535,0.33,
0.0,8.512,0.33,
0.0001,8.512,0.33,
0.0002,8.489,0.32975000000000004,
0.0001,8.489,0.3290833333333334,
0.0,8.42,0.32900000000000007,
0.0,8.466,0.32900000000000007,
0.0,8.329,0.32900000000000007,
0.0,8.306,0.32841666666666663,
0.0,8.147,0.32799999999999996,
0.0001,8.034,0.32799999999999996,
0.0,7.966,0.32799999999999996,
0.0,7.808,0.32799999999999996,
0.0,7.696,0.32791666666666663,
0.0,7.539,0.32716666666666666,
0.0,7.472,0.327,
0.0,7.315,0.327,
0.0,7.227,0.327,
0.0,7.138,0.327,
0.0,7.049,0.327,
0.0,6.939,0.327,
0.0,6.873,0.327,
0.0,6.785,0.327,
0.0,6.741,0.32658333333333334,
0.0,6.741,0.3261666666666667,
0.0,6.675,0.326,
0.0,6.544,0.326,
0.0,6.457,0.326,
0.0,6.435,0.326,
0.0,6.413,0.3256666666666667,
0.0,6.024,0.32500000000000007,
0.0,6.261,0.32500000000000007,
0.0,6.196,0.32500000000000007,
0.0,6.11,0.32500000000000007,
0.0,6.067,0.3246666666666666,
0.0002,6.046,0.3240833333333333,
0.0,6.305,0.32399999999999995,
0.0001,5.938,0.32399999999999995,
0.0002,5.852,0.32399999999999995,
0.0001,5.81,0.32399999999999995,
0.0,5.724,0.32399999999999995,
0.0,5.682,0.32399999999999995,
0.0,5.618,0.32399999999999995,
0.0,5.597,0.32399999999999995,
0.0,5.576,0.32391666666666663,
0.0,5.512,0.32349999999999995,
0.0,5.47,0.32308333333333333,
0.0,5.406,0.32308333333333333,
0.0,5.364,0.323,
0.0,5.343,0.323,
0.0,5.301,0.323,
0.0,5.259,0.323,
0.0,5.217,0.323,
0.0,5.175,0.32258333333333333,
0.0,5.133,0.322,
0.0,5.05,0.322,
0.0,5.029,0.322,
0.0,4.967,0.322,
0.0,4.884,0.322,
0.0,4.863,0.322,
0.0,4.801,0.32150000000000006,
0.0,4.739,0.32100000000000006,
0.0,4.719,0.32100000000000006,
0.0,4.698,0.32100000000000006,
0.0,4.616,0.32100000000000006,
0.0,4.616,0.32100000000000006,
0.0,4.575,0.32100000000000006,
0.0,4.513,0.32100000000000006,
0.0,4.513,0.32100000000000006,
0.0,4.473,0.32100000000000006,
0.0,4.452,0.32100000000000006,
0.0,4.432,0.32100000000000006,
0.0,4.412,0.32100000000000006,
0.0,4.412,0.32100000000000006,
0.0002,4.391,0.32100000000000006,
0.0,4.351,0.32100000000000006,
0.0,4.33,0.32066666666666666,
0.0002,4.29,0.32041666666666657,
0.0002,4.229,0.3200833333333333,
0.0,4.27,0.31999999999999995,
0.0,4.249,0.31999999999999995,
0.0,4.229,0.31999999999999995,
0.0,4.209,0.31999999999999995,
0.0,4.209,0.31999999999999995,
0.0,4.209,0.3197499999999999,
0.0,4.149,0.31925,
0.0,4.108,0.319,
0.0,4.088,0.319,
0.0,4.068,0.319,
0.0,4.048,0.319,
0.0,4.008,0.319,
0.0,3.968,0.319,
0.0,3.908,0.319,
0.0,3.928,0.319,
0.0,3.908,0.319,
0.0,3.829,0.319,
0.0,4.534,0.319,
0.0,3.829,0.319,
0.0,3.829,0.31833333333333336,
0.0,3.789,0.318,
0.0,3.77,0.318,
0.0,3.789,0.318,
0.0,3.789,0.31775000000000003,
0.0,3.77,0.31700000000000006,
0.0,3.73,0.31700000000000006,
0.0,3.691,0.31700000000000006,
0.0,3.651,0.31700000000000006,
0.0,3.612,0.3169166666666667,
0.0,3.592,0.31616666666666665,
0.0,3.534,0.31599999999999995,
0.0,3.514,0.31599999999999995,
0.0,3.514,0.31599999999999995,
0.0,3.495,0.31599999999999995,
0.0,3.475,0.31599999999999995,
0.0,3.475,0.31599999999999995,
0.0,3.456,0.31599999999999995,
0.0,3.436,0.31599999999999995,
0.0,3.495,0.31599999999999995,
0.0,3.691,0.31599999999999995,
0.0,3.671,0.31599999999999995,
0.0,3.573,0.31599999999999995,
0.0,3.592,0.31549999999999995,
0.0,3.632,0.315,
0.0,3.417,0.315,
0.0,3.417,0.315,
0.0,3.436,0.3149166666666666,
0.0,3.436,0.3140833333333334,
0.0,3.358,0.314,
0.0,3.32,0.314,
0.0,3.968,0.314,
0.0,6.5,0.3303333333333333,
0.0,7.628,0.3431666666666666,
0.0,8.672,0.3415000000000001,
0.0,8.672,0.34133333333333343,
0.0,8.125,0.343,
0.0,7.898,0.34225,
0.0,7.808,0.34133333333333343,
0.0,7.539,0.3403333333333333,
0.0,7.049,0.33958333333333335,
0.0,6.588,0.339,
0.0,6.153,0.33825,
0.0,5.852,0.3379166666666667,
0.0,5.639,0.3370833333333334,
0.0,5.533,0.33691666666666675,
0.0,5.259,0.3360833333333333,
0.0005,5.133,0.3359999999999999,
0.0,5.008,0.33508333333333334,
0.0,5.427,0.335,
0.0025200000000000005,4.229,0.3341666666666667,
0.0007,5.259,0.334,
0.0,4.028,0.3348333333333333,
0.0,5.364,0.33591666666666664,
0.0,4.698,0.33558333333333334,
0.0,4.677,0.335,
0.0,4.616,0.335,
0.0001,4.493,0.3345,
0.0001,4.432,0.334,
0.0001,4.371,0.334,
0.0004,4.31,0.3333333333333334,
0.001,4.29,0.33325000000000005,
0.0006,4.31,0.33433333333333337,
0.0008,4.412,0.3361666666666667,
0.0008999999999999999,4.534,0.3383333333333334,
0.00030000000000000003,4.76,0.34016666666666673,
0.0002,5.029,0.3410833333333334,
0.0,5.322,0.34100000000000014,
0.0,5.618,0.3408333333333334,
0.0,5.852,0.3399999999999999,
0.0,6.024,0.33949999999999997,
0.0,6.003,0.339,
0.0,5.938,0.33825,
0.0,5.81,0.338,
0.0,5.682,0.33733333333333343,
0.0,5.533,0.33700000000000013,
0.0,5.364,0.33641666666666664,
0.0,5.217,0.3359999999999999,
0.0,5.071,0.33549999999999996,
0.0,4.925,0.335,
0.0,4.801,0.3341666666666667,
0.0,4.698,0.334,
0.0,4.575,0.33375000000000005,
0.0,4.473,0.3330000000000001,
0.0,4.391,0.3330000000000001,
0.0,4.29,0.3330000000000001,
0.0,4.27,0.3325,
0.0,4.189,0.33199999999999996,
0.0,4.128,0.33199999999999996,
0.0,4.068,0.33199999999999996,
0.0,4.048,0.33125,
0.0001,4.008,0.331,
0.0004,4.008,0.331,
0.0,3.948,0.331,
0.0,3.948,0.331,
0.00030000000000000003,3.948,0.3301666666666667,
0.0006,3.948,0.33,
0.0001,3.968,0.33,
0.0,3.948,0.33,
0.0,3.948,0.33,
0.0,3.948,0.3299166666666667,
0.0,3.968,0.3291666666666668,
0.0001,3.968,0.32900000000000007,
0.0,3.948,0.32900000000000007,
0.0,3.928,0.3289166666666667,
0.0,3.908,0.3280833333333333,
0.0,3.889,0.32799999999999996,
0.0,3.849,0.32799999999999996,
0.0,3.829,0.32791666666666663,
0.0,3.789,0.3273333333333333,
0.0,3.73,0.327,
0.0,3.71,0.327,
0.0,3.671,0.327,
0.0,3.651,0.327,
0.0,3.612,0.327,
0.0,3.612,0.327,
0.0,3.553,0.32675000000000004,
0.0,3.553,0.32633333333333336,
0.0,3.534,0.326,
0.0,3.514,0.326,
0.0,3.495,0.326,
0.0,3.514,0.326,
0.0,3.495,0.32575000000000004,
0.0,3.495,0.32500000000000007,
0.0,3.456,0.32500000000000007,
0.0,3.436,0.32500000000000007,
0.0,3.436,0.3242499999999999,
0.0,3.378,0.32399999999999995,
0.0,3.32,0.32399999999999995,
0.0,3.3,0.32399999999999995,
0.0,3.262,0.32383333333333325,
0.0,3.223,0.3237499999999999,
0.0,3.204,0.3237499999999999,
0.0,3.166,0.32349999999999995,
0.0,3.108,0.323,
0.0,3.127,0.323,
0.0,3.089,0.323,
0.0,3.089,0.323,
0.0,3.089,0.323,
0.0,3.07,0.323,
0.0,3.051,0.323,
0.0,3.051,0.323,
0.0,3.051,0.323,
0.0,3.032,0.3225,
0.0,3.051,0.322,
0.0,3.013,0.322,
0.0,3.013,0.3219166666666667,
0.0,2.994,0.32141666666666674,
0.0,2.975,0.32100000000000006,
0.0,2.975,0.32100000000000006,
0.0,2.956,0.32100000000000006,
0.0,2.956,0.3203333333333333,
0.0,2.899,0.31999999999999995,
0.0,2.862,0.31999999999999995,
0.0,2.862,0.31999999999999995,
0.0,2.843,0.31999999999999995,
0.0,2.805,0.31999999999999995,
0.0,2.787,0.31999999999999995,
0.0,2.787,0.3199166666666666,
0.0,2.768,0.31999999999999995,
0.0,2.749,0.3196666666666666,
0.0,2.749,0.31916666666666665,
0.0,2.749,0.319,
0.0,2.749,0.319,
0.0,2.749,0.319,
0.0,2.749,0.319,
0.0,2.749,0.319,
0.0,2.749,0.319,
0.0,2.749,0.319,
0.0,2.768,0.31883333333333336,
0.0,2.73,0.31808333333333333,
0.0,2.749,0.318,
0.0,2.749,0.318,
0.0,2.73,0.3179166666666667,
0.0,2.749,0.3172500000000001,
0.0,2.693,0.31700000000000006,
0.0,2.693,0.31700000000000006,
0.0,2.693,0.31700000000000006,
0.0,2.619,0.31700000000000006,
0.0,2.619,0.31700000000000006,
0.0,2.619,0.31700000000000006,
0.0,2.6,0.31691666666666674,
0.0,2.6,0.3166666666666667,
0.0,2.6,0.31649999999999995,
0.0,2.6,0.3166666666666667,
0.0,2.563,0.31616666666666665,
0.0,2.582,0.3161666666666666,
0.0,2.582,0.31616666666666665,
0.0,2.582,0.3165833333333334,
0.0,2.582,0.31625,
0.0,2.582,0.31599999999999995,
0.0,2.6,0.31599999999999995,
0.0,2.582,0.31599999999999995,
0.0,2.6,0.31599999999999995,
0.0,2.619,0.3159166666666666,
0.0,2.582,0.31516666666666665,
0.0,2.582,0.315,
0.0,2.582,0.315,
0.0,2.6,0.3141666666666667,
0.0,2.582,0.314,
0.0,2.563,0.314,
0.0,2.545,0.3136666666666667,
0.0,2.526,0.3132500000000001,
0.0,2.508,0.31300000000000006,
0.0,2.49,0.31300000000000006,
0.0,2.471,0.31300000000000006,
0.0,2.453,0.31300000000000006,
0.0,2.453,0.31300000000000006,
0.0,2.471,0.31300000000000006,
0.0,2.471,0.31300000000000006,
0.0,2.453,0.31300000000000006,
0.0,2.453,0.31300000000000006,
0.0,2.453,0.31300000000000006,
0.0,2.435,0.31300000000000006,
0.0,2.453,0.31300000000000006,
0.0,2.453,0.31300000000000006,
0.0,2.49,0.31258333333333327,
0.0,2.508,0.31199999999999994,
0.0,2.508,0.31199999999999994,
0.0,2.508,0.3114166666666666,
0.0,2.471,0.311,
0.0,2.471,0.3105833333333334,
0.0,2.471,0.31,
0.0,2.453,0.31,
0.0,2.416,0.3092500000000001,
0.0,2.398,0.30900000000000005,
0.0,2.38,0.30900000000000005,
0.0,2.344,0.30900000000000005,
0.0,2.325,0.30900000000000005,
0.0,2.307,0.30900000000000005,
0.0,2.307,0.30900000000000005,
0.0,2.307,0.30900000000000005,
0.0,2.325,0.30900000000000005,
0.0,2.307,0.30900000000000005,
0.0,2.289,0.30900000000000005,
0.0,2.289,0.30900000000000005,
0.0,2.289,0.30900000000000005,
0.0,2.307,0.30900000000000005,
0.0,2.307,0.30858333333333327,
0.0,2.325,0.30799999999999994,
0.0,2.344,0.30799999999999994,
0.0,2.325,0.30724999999999997,
0.0,2.325,0.307,
0.0,2.344,0.30625,
0.0,2.325,0.30583333333333335,
0.0,2.344,0.30500000000000005,
0.0,2.344,0.3043333333333333,
0.0,2.307,0.30399999999999994,
0.0,2.271,0.30366666666666664,
0.0,2.235,0.303,
0.0,2.235,0.303,
0.0,2.217,0.303,
0.0,2.163,0.303,
0.0,2.145,0.303,
0.0,2.145,0.303,
0.0,2.127,0.303,
0.0,2.145,0.303,
0.0,2.127,0.303,
0.0,2.127,0.303,
0.0,2.109,0.303,
0.0,2.127,0.303,
0.0,2.127,0.303,
